Persona,Hogar,Sexo,Edad,ActividadHogar,EstadoCivil,NivelInstruccion,ViaAccesoPrincipal,TenenciaVivienda,TipoAlumbrado,TipoVivienda,TieneVehiculo,NumeroVehiculos,TieneMoto,NumeroMotos,AbastecimientoSuper,AbastecimientoDiesel,AbastecimientoEco,AbastecimientoExtra,AbastecimientoElectricidad,AbastecimientoGas,GastoSuper,GastoDiesel,GastoEco,GastoExtra,GastoElectricidad,GastoGas,ValorMnsualArriendo,IncluyeServicioAgua,IncluyeServicioLuz,CantidadDeCuartos,CuartoDormitorios,CuartoNegocio,CuartoCocina,ParentescoPropietario,Basura,TipoCocina,Vivienda,MaterialPiso,MaterialParedes,MaterialTecho,EstadoParedes,EstadoTecho,EstadoParedes,MedidorDeAgua,ObtieneJuntaAgua,MedioRecibeAgua,MedioObtieneAgua,ServicioDucha,TipoDeServicioHigienico,NoTieneServicioHigienico,TipoInsatalacionSanitaria,UnidadMuestreo,Ciudad,Conglomeracion,Estrato,Area,FactorExpansion,Periodo,Mes
0101500011010280410201,01015000110102804101,1,14,12,6,5,1,1,1,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,160,2,2,3,2,0,1,2,2,1,0101500011010280401,1,1,6,1,1,1," "," ",1,1,1,1,4,5,010150001101,10150,001101,2713,1,558.366083040128,202301,01
0101500011010280410301,01015000110102804101,2,11,12,6,5,1,1,1,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,160,2,2,3,2,0,1,2,2,1,0101500011010280401,1,1,6,1,1,1," "," ",1,1,1,1,4,5,010150001101,10150,001101,2713,1,558.366083040128,202301,01
0101500011010280410401,01015000110102804101,2,9,12,6,5,1,1,1,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,160,2,2,3,2,0,1,2,2,1,0101500011010280401,1,1,6,1,1,1," "," ",1,1,1,1,4,5,010150001101,10150,001101,2713,1,558.366083040128,202301,01
0101500011010280410501,01015000110102804101,1,1,12,6,1,1,1,1,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,160,2,2,3,2,0,1,2,2,1,0101500011010280401,1,1,6,1,1,1," "," ",1,1,1,1,4,5,010150001101,10150,001101,2713,1,558.366083040128,202301,01
0101500011010280410601,01015000110102804101,2,11,12,6,5,1,1,1,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,160,2,2,3,2,0,1,2,2,1,0101500011010280401,1,1,6,1,1,1," "," ",1,1,1,1,4,5,010150001101,10150,001101,2713,1,558.366083040128,202301,01
0101500011010280510101,01015000110102805101,2,56,1,3,6,1,1,1,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,200,2,2,4,3,0,1,2,2,1,0101500011010280501,2,1,2,1,1,1," "," ",1,1,1,1,4,5,010150001101,10150,001101,2713,1,558.366083040128,202301,01
0101500011010280610101,01015000110102806101,1,68,12,1,6,1,4,1,1,1,1,2,0,2,2,1,2,2,2,0,0,50,0,0,0,350,3,3,5,3,0,1,2,2,1,0101500011010280601,2,1,2,1,2,1," "," ",1,1,1,1,4,5,010150001101,10150,001101,2713,1,558.366083040128,202301,01
0101500011010280610201,01015000110102806101,2,64,12,1,6,1,4,1,1,1,1,2,0,2,2,1,2,2,2,0,0,50,0,0,0,350,3,3,5,3,0,1,2,2,1,0101500011010280601,2,1,2,1,2,1," "," ",1,1,1,1,4,5,010150001101,10150,001101,2713,1,558.366083040128,202301,01
0101500011010280610301,01015000110102806101,2,27,12,6,10,1,4,1,1,1,1,2,0,2,2,1,2,2,2,0,0,50,0,0,0,350,3,3,5,3,0,1,2,2,1,0101500011010280601,2,1,2,1,2,1," "," ",1,1,1,1,4,5,010150001101,10150,001101,2713,1,558.366083040128,202301,01
0101500011010280710101,01015000110102807101,1,47,12,5,9,1,4,1,2,1,2,2,0,2,2,1,2,2,2,0,0,110,0,0,0,250,3,3,3,2,0,1,2,2,1,0101500011010280701,2,1,2,2,2,2," "," ",1,1,1,1,4,5,010150001101,10150,001101,2713,1,558.366083040128,202301,01
